date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:11:14	43278/43278	---M--	200	added ('OK')	image/jpeg	etag:%220ecfd245517b2bf2224fe95e7e6d4a02%22	https://r.mobirisesite.com/20700/assets/images/38-630x630-504x378.jpg?v=1GFHMn	C:/Meus%20Sites/meusite/r.mobirisesite.com/20700/assets/images/38-630x630-504x3781765.jpg	(from https://50docesqueemagrecem.mobirisesite.com/)
00:11:14	31862/31862	---M--	200	added ('OK')	image/jpeg	etag:%22051edf55a72916125f70a62914baf4b1%22	https://r.mobirisesite.com/20700/assets/images/44-543x637-434x325.jpg?v=1GFHMn	C:/Meus%20Sites/meusite/r.mobirisesite.com/20700/assets/images/44-543x637-434x3251765.jpg	(from https://50docesqueemagrecem.mobirisesite.com/)
00:11:14	45229/45229	---M--	200	added ('OK')	image/png	etag:%226ff9051c3b2abc15b9cfc9d5cb8aad49%22	https://r.mobirisesite.com/20700/assets/images/12-1-300x278.png?v=1GFHMn	C:/Meus%20Sites/meusite/r.mobirisesite.com/20700/assets/images/12-1-300x2781765.png	(from https://50docesqueemagrecem.mobirisesite.com/)
00:11:14	100561/100561	---M--	200	added ('OK')	image/jpeg	etag:%2287d619815d3a6653f2cfb29bcfde5db2%22	https://r.mobirisesite.com/20700/assets/images/24-2-525x350.jpg?v=1GFHMn	C:/Meus%20Sites/meusite/r.mobirisesite.com/20700/assets/images/24-2-525x3501765.jpg	(from https://50docesqueemagrecem.mobirisesite.com/)
00:11:15	300881/300881	---M--	200	added ('OK')	image/jpeg	etag:%22ec3844cb1ffad87861d85f73357e0c2f%22	https://r.mobirisesite.com/20700/assets/images/45-793x453.jpg?v=1GFHMn	C:/Meus%20Sites/meusite/r.mobirisesite.com/20700/assets/images/45-793x4531765.jpg	(from https://50docesqueemagrecem.mobirisesite.com/)
00:11:15	638851/638851	---M--	200	added ('OK')	image/jpeg	etag:%221089301db882f4f38c7a9d8b443bc008%22	https://r.mobirisesite.com/20700/assets/images/36-736x552.jpg?v=1GFHMn	C:/Meus%20Sites/meusite/r.mobirisesite.com/20700/assets/images/36-736x5521765.jpg	(from https://50docesqueemagrecem.mobirisesite.com/)
00:11:16	385851/385851	---M--	200	added ('OK')	image/jpeg	etag:%2273259933bab92e7bed738889f993d159%22	https://r.mobirisesite.com/20700/assets/images/20-1-696x696.jpg?v=1GFHMn	C:/Meus%20Sites/meusite/r.mobirisesite.com/20700/assets/images/20-1-696x6961765.jpg	(from https://50docesqueemagrecem.mobirisesite.com/)
00:11:16	261052/261052	---M--	200	added ('OK')	image/jpeg	etag:%22c55a2f24f5675de74331c0de1bffb898%22	https://r.mobirisesite.com/20700/assets/images/22-620x413.jpg?v=1GFHMn	C:/Meus%20Sites/meusite/r.mobirisesite.com/20700/assets/images/22-620x4131765.jpg	(from https://50docesqueemagrecem.mobirisesite.com/)
00:11:16	354703/354703	---M--	200	added ('OK')	image/jpeg	etag:%22a6b919131af045d674c36b45c467464e%22	https://r.mobirisesite.com/20700/assets/images/38-630x630.jpg?v=1GFHMn	C:/Meus%20Sites/meusite/r.mobirisesite.com/20700/assets/images/38-630x6301765.jpg	(from https://50docesqueemagrecem.mobirisesite.com/)
00:11:17	80774/80774	---M--	200	added ('OK')	image/png	etag:%22ecbc3edc617ab4307b5d7c5a471a49ee%22	https://r.mobirisesite.com/20700/assets/images/ad1-394x489.png?v=1GFHMn	C:/Meus%20Sites/meusite/r.mobirisesite.com/20700/assets/images/ad1-394x4891765.png	(from https://50docesqueemagrecem.mobirisesite.com/)
